myScore,Num. people in role,Num. transfers to role,Num. transfers from role,Total years in role,Mean years in role,Mean % career in role,Role
0.50386316138413245,26,27,11,103.0,3.9615384615384617,20.527758426760951,Ambassador to Brazil
0.50343222928405651,17,18,9,67.5,3.9705882352941178,25.171611464202826,Ambassador to South Korea
0.50288078498047295,20,19,8,68.0,3.3999999999999999,21.173927788651493,Ambassador to the U.S.S.R.
0.50056306306306309,3,2,2,9.5,3.1666666666666665,50.056306306306311,Head of Overseas Territories Department Foreign and Commonwealth Office
0.50016998726502804,16,15,9,58.0,3.625,30.01019923590168,High Commissioner to Malawi
0.5,1,2,1,7.5,7.5,25.0,Marshal of the Diplomatic Corps
0.5,1,2,1,3.5,3.5,25.0,Permanent Representative to the European Union Political and Security Committee
0.5,1,2,1,2.5,2.5,25.0,Minister Embassy Russia
0.5,1,1,2,3.5,3.5,100.0,Additional Director Eastern Europe and Central Asia Foreign and Commonwealth Office
0.5,1,1,1,6.5,6.5,50.0,Charged’Affaires Venezuela
0.5,1,1,1,5.5,5.5,50.0,Governor/Civil Commissioner of the Falkland Islands
0.5,1,1,1,4.5,4.5,50.0,Minister Resident Saxony
0.5,1,1,1,4.5,4.5,50.0,Counsellor (Administration) Federal Republic of Germany
0.5,1,1,1,4.5,4.5,50.0,Assistant Under-Secretary Department of Industry  Department of Trade 1978-1983 of Trade and Industry 1983-1984
